code,secName,orgId,announcementId,announcementTitle,pdf_url000001,平安银行,gssz0000001,1222806505,2024年年度报告,http://static.cninfo.com.cn/finalpage/2025-03-15/1222806505.PDF
000002,万  科Ａ,gssz0000002,28988648,2006年年度报告（调整后）,http://static.cninfo.com.cn/finalpage/2007-06-12/28988648.PDF
000002,万  科Ａ,gssz0000002,21601900,2006年年度报告,http://static.cninfo.com.cn/finalpage/2007-03-20/21601900.PDF
000002,万  科Ａ,gssz0000002,16589351,G 万科Ａ2005年年度报告,http://static.cninfo.com.cn/finalpage/2006-03-21/16589351.PDF
000002,万  科Ａ,gssz0000002,15124083,万 科 Ａ2004年年度报告,http://static.cninfo.com.cn/finalpage/2005-03-22/15124083.PDF
000002,万  科Ａ,gssz0000002,13759739,万 科 Ａ2003年年度报告,http://static.cninfo.com.cn/finalpage/2004-03-09/13759739.PDF
000002,万  科Ａ,gssz0000002,10249618,万 科 Ａ2002年年度报告,http://static.cninfo.com.cn/finalpage/2003-03-18/10249618.PDF
000002,万  科Ａ,gssz0000002,552440,深万科Ａ2001年年度报告,http://static.cninfo.com.cn/finalpage/2002-03-14/552440.PDF
000004,国华网安,gssz0000004,1223381901,2024年年度报告,http://static.cninfo.com.cn/finalpage/2025-04-29/1223381901.PDF
000004,国华网安,gssz0000004,1219957415,2023年年度报告,http://static.cninfo.com.cn/finalpage/2024-04-30/1219957415.PDF
000004,ST国华,gssz0000004,1216934502,2021年年度报告（更正后）,http://static.cninfo.com.cn/finalpage/2023-05-30/1216934502.PDF
000004,ST国华,gssz0000004,1216702538,2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-29/1216702538.PDF
000004,国华网安,gssz0000004,1213274256,2021年年度报告,http://static.cninfo.com.cn/finalpage/2022-04-30/1213274256.PDF
000004,国华网安,gssz0000004,1209838945,2020年年度报告,http://static.cninfo.com.cn/finalpage/2021-04-28/1209838945.PDF
000004,国农科技,gssz0000004,1207642203,2019年年度报告,http://static.cninfo.com.cn/finalpage/2020-04-28/1207642203.PDF
000004,国农科技,gssz0000004,1206104284,2018年年度报告,http://static.cninfo.com.cn/finalpage/2019-04-26/1206104284.PDF
000004,国农科技,gssz0000004,1204824070,2017年年度报告,http://static.cninfo.com.cn/finalpage/2018-04-28/1204824070.PDF
000004,国农科技,gssz0000004,1203525398,2016年年度报告（更新后）,http://static.cninfo.com.cn/finalpage/2017-05-17/1203525398.PDF
000004,国农科技,gssz0000004,1203300327,2016年年度报告（已取消）,http://static.cninfo.com.cn/finalpage/2017-04-15/1203300327.PDF
000004,国农科技,gssz0000004,1203275928,2016年年度报告（已取消）,http://static.cninfo.com.cn/finalpage/2017-04-11/1203275928.PDF
000004,国农科技,gssz0000004,1202281264,2015年年度报告,http://static.cninfo.com.cn/finalpage/2016-04-30/1202281264.PDF
000004,国农科技,gssz0000004,1200957568,2014年年度报告（更新后）,http://static.cninfo.com.cn/finalpage/2015-05-04/1200957568.PDF
000004,国农科技,gssz0000004,1200943864,2014年年度报告（已取消）,http://static.cninfo.com.cn/finalpage/2015-04-30/1200943864.PDF
000004,国农科技,gssz0000004,63889879,2013年年度报告,http://static.cninfo.com.cn/finalpage/2014-04-22/63889879.PDF
000004,国农科技,gssz0000004,62392061,2012年年度报告,http://static.cninfo.com.cn/finalpage/2013-04-20/62392061.PDF
000004,国农科技,gssz0000004,60871519,2011年年度报告,http://static.cninfo.com.cn/finalpage/2012-04-21/60871519.PDF
000004,国农科技,gssz0000004,60277377,2010年年度报告（更新后）,http://static.cninfo.com.cn/finalpage/2011-12-03/60277377.PDF
000004,国农科技,gssz0000004,60277375,2009年年度报告（更新后）,http://static.cninfo.com.cn/finalpage/2011-12-03/60277375.PDF
000004,国农科技,gssz0000004,60277371,2008年年度报告（更新后）,http://static.cninfo.com.cn/finalpage/2011-12-03/60277371.PDF
000004,国农科技,gssz0000004,60277368,2007年年度报告（更新后）,http://static.cninfo.com.cn/finalpage/2011-12-03/60277368.PDF
000004,ST国农,gssz0000004,59323962,2010年年度报告（已取消）,http://static.cninfo.com.cn/finalpage/2011-04-23/59323962.PDF
000004,*ST国农,gssz0000004,57825926,2009年年度报告（已取消）,http://static.cninfo.com.cn/finalpage/2010-04-17/57825926.PDF
000004,ST 国 农,gssz0000004,51422748,2008年年度报告（已取消）,http://static.cninfo.com.cn/finalpage/2009-04-20/51422748.PDF
000004,ST 国 农,gssz0000004,39077374,2007年年度报告,http://static.cninfo.com.cn/finalpage/2008-04-24/39077374.PDF
000004,*ST 国农,gssz0000004,23110645,2006年年度报告,http://static.cninfo.com.cn/finalpage/2007-04-27/23110645.PDF
000004,国农科技,gssz0000004,16934100,国农科技2005年年度报告,http://static.cninfo.com.cn/finalpage/2006-04-20/16934100.PDF
000004,国农科技,gssz0000004,15244156,北大高科2004年年度报告,http://static.cninfo.com.cn/finalpage/2005-04-19/15244156.PDF
000004,国农科技,gssz0000004,13942213,北大高科2003年年度报告,http://static.cninfo.com.cn/finalpage/2004-04-20/13942213.PDF
000004,国农科技,gssz0000004,10530245,北大高科2002年年度报告,http://static.cninfo.com.cn/finalpage/2003-04-16/10530245.PDF
000004,国农科技,gssz0000004,558264,北大高科2001年年度报告,http://static.cninfo.com.cn/finalpage/2002-03-26/558264.PDF
000006,深振业Ａ,gssz0000006,1223309112,2024年年度报告,http://static.cninfo.com.cn/finalpage/2025-04-26/1223309112.PDF
000006,深振业Ａ,gssz0000006,1219865454,2023年年度报告,http://static.cninfo.com.cn/finalpage/2024-04-27/1219865454.PDF
000006,深振业Ａ,gssz0000006,1216655440,2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-28/1216655440.PDF
000006,深振业Ａ,gssz0000006,1212943740,2021年年度报告,http://static.cninfo.com.cn/finalpage/2022-04-16/1212943740.PDF
000006,深振业Ａ,gssz0000006,1209490148,2020年年度报告,http://static.cninfo.com.cn/finalpage/2021-03-31/1209490148.PDF
000006,深振业Ａ,gssz0000006,1207467581,2019年年度报告,http://static.cninfo.com.cn/finalpage/2020-04-09/1207467581.PDF
